id_0	id_1	gdp_per_capita_ppp
40	9	3278.2212
40	10	3278.2212
40	11	3278.2212
40	12	3278.2212
40	13	3278.2212
40	14	3278.2212000000004
40	15	3288.8667870967743
40	16	3278.2212
40	17	3278.2212
40	18	3290.3570047058824
40	19	3278.2212
40	20	3280.4392795774647
40	21	3278.2212
40	22	3278.2212
40	23	3278.2212
40	24	3278.2212
40	25	3278.2212
41	1	2941.6885898013247
41	2	2938.7761
41	3	2936.9179427677873
41	4	2934.9353474576274
41	5	2938.7761000000005
41	6	2942.422749751244
41	7	2936.4668138107418
41	8	2938.7761
41	9	2959.1543013651876
41	10	2967.515926220615
42	1	57886.219273933995
42	2	41023.230868678926
42	3	39159.79862232218
42	4	34309.24600566343
42	5	39385.583924509054
42	6	64789.25
42	7	34482.12331712707
42	8	64789.25
42	8	64789.25
42	8	64789.25
42	9	44630.775065374815
42	10	32335.123000000003
42	11	37791.042573242186
42	12	44787.069673220176
42	13	64789.25
43	1	6295.9014
43	2	6295.9014
43	3	6295.9014
43	4	6295.9014
43	5	6295.9014
43	6	6295.9014
43	7	6295.9014
43	8	6295.9014
43	9	6295.9014
43	10	6295.9014
43	11	6295.9014
43	12	6295.9014
43	13	6295.9014
43	14	6295.9014
43	16	6295.9014
43	17	6295.9014
43	19	6295.9014
43	20	6295.9014
43	21	6295.9014
43	22	6295.9014
45	4	49930.547
45	6	49930.547
46	1	562.193
46	2	562.193
46	3	564.7972871641791
46	4	568.1029650759878
46	5	565.4987910609036
46	6	562.193
46	7	562.193
46	8	562.193
46	9	562.4408511931817
46	10	562.193
46	11	562.193
46	12	563.1113538947368
46	13	562.4938400689655
46	14	566.2184108695652
46	15	562.193
46	16	599.0210349056604
46	17	562.193
47	1	2043.5442
47	2	2043.5442000000003
47	3	2043.180689406914
47	4	2043.5442
47	5	2047.5229626187963
47	6	2043.5442000000003
47	7	2043.5442
47	8	2043.5442
47	9	2026.7917191230206
47	10	2048.8904720338983
47	11	2043.5442
47	12	2041.473107067138
47	13	2043.5442000000003
47	14	2043.5442
47	15	2043.5442
47	16	2043.5442
47	17	2043.5442
47	18	2043.5442
47	19	2043.5442
47	20	2043.5441999999998
47	21	2045.6051496516782
47	22	2043.5441999999998
47	23	2043.5442
48	1	16851.127149006625
48	2	74572.71414756174
48	3	9031.62313671875
48	4	29974.740331521738
48	5	33421.825283653845
48	6	14680.270208928572
48	7	17014.202303605314
48	8	19874.90753097345
48	9	11686.339716883118
48	10	11627.989635245902
48	11	21853.95533117409
