admin1_id	population_2016
312.0	29000.0
313.0	4000.0
314.0	14000.0
315.0	18000.0
317.0	45000.0
318.0	26000.0
319.0	29000.0
320.0	43000.0
321.0	74000.0
322.0	48000.0
323.0	123000.0
324.0	59000.0
325.0	17000.0
326.0	23000.0
327.0	40000.0
329.0	23000.0
330.0	607000.0
331.0	1903000.0
333.0	2893000.0
334.0	541000.0
335.0	142000.0
336.0	884000.0
337.0	2942000.0
338.0	525000.0
361.0	873000.0
362.0	3363000.0
363.0	828000.0
364.0	4004000.0
365.0	14837000.0
366.0	9261000.0
367.0	2980000.0
368.0	3844000.0
369.0	6781000.0
370.0	7296000.0
372.0	3447000.0
371.0	2738000.0
373.0	21010000.0
374.0	8657000.0
375.0	4034000.0
376.0	11173000.0
377.0	9504000.0
378.0	3344000.0
379.0	17286000.0
380.0	3477000.0
381.0	11184000.0
382.0	1707000.0
383.0	553000.0
385.0	6944000.0
384.0	44679000.0
386.0	2290000.0
387.0	1559000.0
397.0	316000.0
398.0	413000.0
399.0	176000.0
400.0	112000.0
402.0	230000.0
403.0	150000.0
405.0	127000.0
406.0	134000.0
407.0	257000.0
408.0	126000.0
409.0	240000.0
410.0	669000.0
411.0	114000.0
412.0	218000.0
413.0	167000.0
414.0	109000.0
415.0	189000.0
417.0	236000.0
418.0	315000.0
419.0	110000.0
420.0	490000.0
421.0	237000.0
422.0	88000.0
425.0	1796000.0
426.0	770000.0
431.0	2712000.0
427.0	1474000.0
428.0	1543000.0
429.0	1498000.0
430.0	791000.0
432.0	1643000.0
434.0	1485000.0
435.0	862000.0
436.0	1284000.0
437.0	791000.0
438.0	442000.0
439.0	650000.0
440.0	726000.0
441.0	750000.0
442.0	299000.0
443.0	602000.0
444.0	948000.0
445.0	570000.0
446.0	765000.0
447.0	821000.0
448.0	563000.0
449.0	382000.0
450.0	826000.0
451.0	357000.0
452.0	863000.0
453.0	436000.0
454.0	523000.0
455.0	783000.0
458.0	1760000.0
459.0	529000.0
457.0	645000.0
462.0	1465000.0
464.0	43000.0
470.0	1699000.0
472.0	234000.0
473.0	959000.0
477.0	492000.0
480.0	1273000.0
481.0	4348000.0
482.0	878000.0
483.0	4246000.0
484.0	3552000.0
486.0	2717000.0
485.0	2041000.0
487.0	2017000.0
489.0	789000.0
488.0	1579000.0
575.0	603000.0
576.0	1017000.0
578.0	294000.0
579.0	2134000.0
580.0	753000.0
582.0	876000.0
583.0	398000.0
586.0	1056000.0
588.0	330000.0
589.0	1843000.0
621.0	55000.0
622.0	6572000.0
623.0	180000.0
624.0	2478000.0
625.0	2155000.0
626.0	1421000.0
628.0	1054000.0
629.0	396000.0
630.0	330000.0
631.0	1387000.0
632.0	1031000.0
633.0	456000.0
627.0	1716000.0
634.0	2615000.0
635.0	22000.0
636.0	67000.0
637.0	1175000.0
639.0	1334000.0
640.0	837000.0
641.0	1758000.0
642.0	1418000.0
643.0	278000.0
644.0	609000.0
645.0	1009000.0
646.0	70000.0
647.0	2245000.0
648.0	894000.0
649.0	1540000.0
650.0	4755000.0
651.0	23000.0
652.0	52000.0
734.0	7989000.0
735.0	3589000.0
733.0	8580000.0
736.0	7723000.0
737.0	7197000.0
738.0	12105000.0
741.0	10162000.0
656.0	971000.0
657.0	522000.0
